node_id,name,tier,parent_id,family_id,layer
10000000,Artificial Intelligence,1,,10000000,
10010000,AI Compute & Accelerator Silicon,2,10000000,10000000,infrastructure
10010100,GPU & Merchant Accelerators,3,10010000,10000000,infrastructure
10010200,Custom Silicon / ASIC,3,10010000,10000000,infrastructure
10010300,Inference-Optimized Silicon,3,10010000,10000000,infrastructure
10010400,HBM & AI Memory,3,10010000,10000000,infrastructure
10010700,Edge & On-device AI Silicon,3,10010000,10000000,infrastructure
10020000,AI Networking & Interconnect,2,10000000,10000000,infrastructure
10020100,Switching & Networking Silicon/Systems,3,10020000,10000000,infrastructure
10020200,Optical Interconnect & DCI,3,10020000,10000000,infrastructure
10030000,AI Data Center & Build-out,2,10000000,10000000,infrastructure
10030100,Colocation & Hyperscale REITs,3,10030000,10000000,infrastructure
10030200,AI Server OEM & System Integration,3,10030000,10000000,infrastructure
10030300,"Build-out, Construction & Engineering",3,10030000,10000000,infrastructure
10040000,AI Power & Cooling,2,10000000,10000000,infrastructure
10050000,AI Compute Cloud & Neoclouds,2,10000000,10000000,platform
10060000,Foundation Models & Research Labs,2,10000000,10000000,platform
10060100,Closed / Frontier Labs,3,10060000,10000000,platform
10060200,Open-Weight Model Developers,3,10060000,10000000,platform
10070000,"AI Tooling, Data & MLOps",2,10000000,10000000,platform
10080000,AI Applications & Copilots,2,10000000,10000000,application
10090000,Agentic AI & Autonomous Workflows,2,10000000,10000000,application
12000000,Robotics & Physical AI,1,,12000000,
12010000,Industrial Automation & Cobots,2,12000000,12000000,application
12020000,Humanoid Robots,2,12000000,12000000,application
12030000,Autonomous Vehicles & Robotaxi,2,12000000,12000000,application
12030100,Robotaxi Operators & Platforms,3,12030000,12000000,application
12030200,Autonomous Trucking & Delivery,3,12030000,12000000,application
12040000,Civil Drones & UAV,2,12000000,12000000,application
12050000,Surgical & Medical Robotics,2,12000000,12000000,application
12060000,Warehouse & Logistics Robotics,2,12000000,12000000,application
12070000,Robotics Components & Actuation,2,12000000,12000000,supply_chain
12070100,Precision Drives & Reducers,3,12070000,12000000,supply_chain
12070200,Servo Motors & Magnets,3,12070000,12000000,supply_chain
12070300,Machine Vision & Force/Tactile Sensing,3,12070000,12000000,supply_chain
12070400,LiDAR & 3D Perception Sensors,3,12070000,12000000,supply_chain
12080000,Robotics AI & Embodiment Software,2,12000000,12000000,platform
12090000,Consumer & Home Service Robots,2,12000000,12000000,application
14000000,Energy Transition & Power Demand,1,,14000000,
14010000,Nuclear Generation & Utilities,2,14000000,14000000,infrastructure
14020000,Advanced Nuclear — SMR & Microreactor,2,14000000,14000000,infrastructure
14030000,Nuclear Fuel Cycle (Uranium & Enrichment),2,14000000,14000000,supply_chain
14030100,Uranium Mining & Development,3,14030000,14000000,supply_chain
14030200,Conversion & Enrichment (HALEU),3,14030000,14000000,supply_chain
14040000,Solar,2,14000000,14000000,infrastructure
14050000,Wind,2,14000000,14000000,infrastructure
14060000,Geothermal & Firm Renewables,2,14000000,14000000,infrastructure
14070000,Energy Storage & Grid Flexibility,2,14000000,14000000,infrastructure
14080000,"Grid, Transmission & Power Equipment",2,14000000,14000000,infrastructure
14090000,Firm Power & Transition Fuels,2,14000000,14000000,infrastructure
14090100,Natural Gas Value Chain,3,14090000,14000000,supply_chain
14090200,Behind-the-Meter & On-site Power,3,14090000,14000000,infrastructure
14100000,Hydrogen & Fuel Cells,2,14000000,14000000,infrastructure
14110000,Hydropower & Pumped Storage,2,14000000,14000000,infrastructure
16000000,Electrification & Mobility,1,,16000000,
16010000,Passenger EV OEMs (BEV / PHEV),2,16000000,16000000,application
16010100,China NEV Leaders,3,16010000,16000000,application
16010200,Western / Legacy & Pure-play OEMs,3,16010000,16000000,application
16020000,Commercial & Heavy-Duty Electric Vehicles,2,16000000,16000000,application
16030000,Charging Infrastructure & Networks,2,16000000,16000000,infrastructure
16040000,Battery Cells & Pack Manufacturing,2,16000000,16000000,infrastructure
16040100,Incumbent Li-ion Cell Makers,3,16040000,16000000,infrastructure
16040200,Next-gen Cells (Solid-state / Silicon-anode),3,16040000,16000000,infrastructure
