pattern_label,rank,symbol,name,country,net_direction,news_count,aspects,top_reason,pos,neg,top_relevance,market_cap_usd,pattern
AI-capex gold rush (who the market says is funding/benefiting),1,MU,Micron Technology Inc,USA,pos,146,capital,"Q3 revenue quadrupled, margins surged, and guidance strong",146,0,1.0,1106014765056.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),2,000660,SK Hynix Inc,Korea,pos,100,capital,"SK Hynix is one of the two main investors committing ~$260B to the new chip hub, directly boosting its own capacity and future revenue.",100,0,1.0,984852751345.254,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),3,META,Meta Platforms Inc.,USA,pos,67,capital,"Meta plans to launch a cloud computing unit to monetize excess AI capacity, creating a new revenue stream and signaling strategic adaptation, which investors view positively.",67,0,1.0,1698738339840.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),4,NVDA,NVIDIA Corporation,USA,pos,61,capital,"Analyst forecasts 82% revenue growth this year and 41% next year, yet stock trades at low P/E, suggesting undervaluation.",61,0,1.0,5109662089216.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),5,GOOGL,Alphabet Inc Class A,USA,pos,41,capital,"Argus maintained Buy rating and $440 price target, citing healthy results and attractive valuation.",41,0,1.0,4358514933760.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),6,MSFT,Microsoft Corporation,USA,pos,39,capital,"Planned $190B capex in 2026 and shift to per-user/usage model create a new high-margin revenue stream, potentially re-rating the stock.",39,0,1.0,2860690440192.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),7,AMZN,Amazon.com Inc,USA,pos,36,capital,"24/7 Wall St. set a $324 price target with 90% confidence, implying 31.86% upside.",36,0,1.0,2639149400064.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),8,SPCX,Space Exploration Technologies Corp. Class A Common Stock,USA,pos,31,capital,"SpaceX is acquiring Anysphere for $60 billion in stock, expanding into enterprise AI.",31,0,1.0,1833056337920.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),9,CRM,Salesforce.com Inc,USA,pos,19,capital,"Salesforce beat EPS estimates by 24%, has strong free cash flow, and returned $27.5B to shareholders via buybacks, including a $25B accelerated share repurchase.",19,0,1.0,133759082496.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),10,INTC,Intel Corporation,USA,pos,19,capital,Intel announces $5.7B investment in Ireland chip plant expansion to boost production capacity.,19,0,1.0,552055799808.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),11,AMD,Advanced Micro Devices Inc,USA,pos,18,capital,Wells Fargo raised price target to $615 and EPS estimates above consensus,18,0,1.0,909695778816.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),12,ORCL,Oracle Corporation,USA,pos,16,capital,"Oracle secured anchor role in Stargate AI data center project and joined TikTok U.S. operations, boosting performance obligations 359% YoY.",16,0,1.0,405109440512.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),13,005930,Samsung Electronics Co Ltd,Korea,pos,14,capital,"Samsung plans to build two new chip fabrication sites as part of a national project, indicating massive capital investment and government support.",14,0,1.0,1234185534989.93,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),14,PLTR,Palantir Technologies Inc.,USA,pos,13,capital,"Q1 revenue growth 85%, raised full-year guidance, strong margins and free cash flow.",13,0,1.0,311746428928.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),15,AVGO,Broadcom Inc,USA,pos,12,capital,"Fiscal 2027 AI revenue guidance well above expectations prompted analyst upgrades, a financial/valuation event.",12,0,1.0,1827148660736.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),16,MRVL,Marvell Technology Group Ltd,USA,pos,12,capital,UBS raised price target to $340 with Buy rating,12,0,1.0,211649953792.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),17,SYNA,Synaptics Incorporated,USA,pos,10,capital,"Acquired at a 19% premium, providing immediate value to Synaptics shareholders.",10,0,1.0,4951584768.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),18,BX,Blackstone Group Inc,USA,pos,9,capital,"Blackstone sells its 80% stake in two data centers and 50% in a third for $3.5 billion, generating significant cash and shares.",9,0,1.0,150448226304.0,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),19,9988,Alibaba Group Holding Ltd,Hong Kong,pos,8,capital,UBS upgrade highlights margin-widening revenue growth and 45% cloud top-line growth.,8,0,1.0,264491203611.853,ai-capex-goldrush
AI-capex gold rush (who the market says is funding/benefiting),20,CBRS,Cerebras Systems Inc. Class A Common Stock,USA,pos,7,capital,"Cerebras announces multi-billion-dollar European data center expansion, signaling growth and investment.",7,0,1.0,45599678464.0,ai-capex-goldrush
Big Tech under regulatory fire,1,MSFT,Microsoft Corporation,USA,neg,14,regulation,"Class action lawsuit alleging misleading AI adoption claims, causing stock drop.",0,14,1.0,2860690440192.0,bigtech-regulatory-heat
